			Date last viewed	Date inoculated	Culture name	Media	Media type	Growth	Replicate	location	Method	Purpose	Status	Notes	Image Files										
	EXAMPLE		9-Sep	30-Aug	E. coli + pETase	LB + IPTG + Amp.	Agar	++++	3	35°C Incubator	Streak inoculation loop	Subculturing E. coli	Incubating	Re-culture on the 25/09											
																	Morphology								
Isolate # :	ID:	Group #	Date last viewed	Date inoculated	Culture name	Media	Media type	Growth	Replicate	location	Method	Purpose	Status	Notes	Image Files	Isolate number 	Size ~mm	Shape	Elevation	Edge/margin	Colour	Surface	Opacity centre	Opacity outer	Observations
29	Marine 31.33g/L salt ES M-0.22um-10^0 ISO #29.4	Group 1	19/04/22	19/04/22	Marine water 0.22um filter	Marine	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			29	2-4	circular	flat	undulate	cream	wet	opaque	-	
30	R2A 31.33g/L salt ES m-0.22um-10^-0 ISO #30.4	Group 1	19/04/22	19/04/22	Marine water 0.22um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			30	2-4	circular	raised	undulate	cream	wet	opaque 	translucent	
31	R2A 31.33g/L salt ES m-0.22um-10^-0 ISO #31.4	Group 1	19/04/22	19/04/22	Marine water 0.22um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			31	2-3	circular	flat	erose	cream	wet	opaque	-	brown ring in middle, peachy circular contaminantion?
32	TSA 15g/L salt ES M-0.22um-10^-0 ISO # 32.4	Group 1	19/04/22	19/04/22	Marine water 0.22um filter	TSA	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			32	4-5	circular	raised	entire	brown	glistening	opaque	-	
33	TSA 15g/L salt ES M-0.22um-10^-0 ISO # 33.4	Group 1	19/04/22	19/04/22	Marine water 0.22um filter	TSA	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			33	?						                       		
34	Nutrient 0g/L salt ES F-1.2um-10^-0 ISO #34	Group 1	-	12/04/22	Freshwater 1.2um filter	Nutrient	Agar	Dead???	-	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			34									
35	Nutrient 0g/L salt ES F-1.2um-10^-0 ISO #35.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			35	2-3		convex	 entire	brown	wet	transulcent	-	
36	Nutrient 0g/L salt ES F-1.2um-10^-0 ISO #36.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			36									
37	Nutrient 0g/L salt ES F-1.2um-10^-0 ISO #37.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			37	0.5-1	circular	convex	entire	cream	wet	opaque	-	
38	Nutrient 0g/L salt ES F-1.2um-10^-0 ISO #38.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			38	1-4	irregular	flat	fliamentous	cream	rough	opaque	-	
39	Nutrient 15g/L salt ES F-1.2um-10^-0 ISO #39.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			39									
40	Nutrient 15g/L salt ES F-1.2um-10^-0 ISO #40.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			40	1	irregular	umbonate	undulate	yellow	wrinkled	opaque	transparent	Potentially waves?
41	Nutrient 31.33g/L salt ES F-1.2um-10^-0 ISO #41.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			41	1	circular	raised	entire	cream	wet	transulcent		
42	Nutrient 31.33g/L salt ES F-1.2um-10^-0 ISO #42.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			42	1-2	circular	umbilicate	curled	cream	wet	transulcent	-	
43	R2A 0g/L Salt ES F-1.2um-10^-0 ISO #43.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			43	1-2	circular	convex	entire	cream	wet	opaque	-	
44	R2A 0g/L Salt ES F-1.2um-10^-0 ISO #44.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			44	1	circular	convex	smooth	yellow	wet	transulcent	-	
45	R2A 15g/L Salt ES F-1.2um-10^-0 ISO #45.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			45	2-4	irregular	umbonate	erose	cream	smooth centre, wrinkled outer	transulcent		
46	R2A 15g/L Salt ES F-1.2um-10^-0 ISO #46.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			46	2-4	irregular	umbonate	erose	cream	smooth centre, wrinkled outer	transulcent		
47	R2A 31.33g/L Salt ES F-1.2um-10^-0 ISO #47.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			47	1-2	circular	convex	entire	white	wet	opaque		
48	R2A 31.33g/L Salt ES F-1.2um-10^-0 ISO #48.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	R2A	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			48	0.5-1	circular	raised	erose	cream	wet	opaque		
49	TSA 0g/L Salt ES F-1.2um-10^-0 ISO #49.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	TSA	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			49		circular	raised	smooth	cream	wet	transulcent		Wave, drowned plate, too wet
50	TSA 0g/L Salt ES F-1.2um-10^-0 ISO #50.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	TSA	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			50									
51	TSA 15g/L Salt ES F-1.2um-10^-0 ISO #51.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	TSA	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			51									
52	TSA 15g/L Salt ES F-1.2um-10^-0 ISO #52.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	TSA	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			52									
53	TSA 31.33g/L Salt ES F-1.2um-10^-0 ISO #53.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	TSA	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			53	4	irregular	flat	erose	cream	smooth centre, rough outer	opaque		
54	TSA 31.33g/L Salt ES F-1.2um-10^-0 ISO #54.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	TSA	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			54	3-6	circular	flat	undulate	cream	wet	translucent		
55	Marine 31.33g/L Salt ES F-1.2um-10^-0 ISO #55.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Marine	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			55	0.5-1	circular	convex	smooth	cream	wet	opaque		
56	Marine 31.33g/L Salt ES F-1.2um-10^-0 ISO #56.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Marine	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	Incubating			56	1-3	circular	raised	entire	cream	wet	opaque		
57	Nutrient 0g/L Salt ES F-1.2um-10^-1 ISO #57.4	Group 1	19/04/22	19/04/22	Freshwater 1.2um filter	Nutrient	Agar	++++	4	In box at RT in Lab 244	Streak inoculation loop	Isolation	bin			57									
